Product,KCT8526HW,,,,,,,,,,,,,,,,,,,,,,,,
Revision,A4,,,,,,,,,,,,,,,,,,,,,,,,
Date,2018/4/24  18:20_2018/9/14 20:53,,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,,
Limit File Format Version,1,,,,,,,,,,,,,,,,,,,,,,,,
HardBinNumberPass,1,,,,,,,,,,,,,,,,,,,,,,,,
HardBinNamePass,Pass,,,,,,,,,,,,,,,,,,,,,,,,
SoftBinNumberPass,1,,,,,,,,,,,,,,,,,,,,,,,,
SoftBinNamePass,AllPass,,,,,,,,,,,,,,,,,,,,,,,,
LinearCombo,33-34|35-36|37-38|39-40,,,,,,,,,,,,,,,,,,,,,,,,
Test Number,Test Name,Units,HardBinNumber,HardBinName,HardBinPF,SoftBinNumber,SoftBinName,SoftBinPF,FT Lower Limit,FT Upper Limit,QA Lower Limit,QA Upper Limit,Gold Tolerance,Gold Control,MIN,MAX,Apply Offset, Offset1, Offset2, Offset3, Offset4, Offset5, Offset6,Offset7,Offset8
1,CONT_PEN_POS,V,4,Bin4,F,11,CONT_DIG_FAIL,F,0,1,0,1,0,0,0,0,N,0,0,0,0,0,0,0,0
2,CONT_C0_POS,V,4,Bin4,F,11,CONT_DIG_FAIL,F,0.1,0.6,0,1,0,0,0,0,N,0,0,0,0,0,0,0,0
3,CONT_C1_POS,V,4,Bin4,F,11,CONT_DIG_FAIL,F,1,3,0,1,0,0,0,0,N,0,0,0,0,0,0,0,0
4,CONT_VDET_NEG,V,4,Bin4,F,12,CONT_VDET_FAIL,F,-1.5,0,-1.5,0,0,0,0,0,N,0,0,0,0,0,0,0,0
5,CONT_VDET_POS,V,4,Bin4,F,12,CONT_VDET_FAIL,F,0,2,0,2,0,0,0,0,N,0,0,0,0,0,0,0,0
6,IOFF_VCC1,mA,4,Bin4,F,12,CONT_VDET_FAIL,F,0.5,2,-10,10,0,0,0,0,N,0,0,0,0,0,0,0,0
7,IOFF_VCC2,uA,4,Bin4,F,12,CONT_VDET_FAIL,F,-10,10,0,10,0,0,0,0,N,0,0,0,0,0,0,0,0
8,IOFF_VDD,uA,4,Bin4,F,12,CONT_VDET_FAIL,F,-10,10,-5,5,0,0,0,0,N,0,0,0,0,0,0,0,0
9,IOFF_GROSS_END,mA,4,Bin4,F,12,CONT_VDET_FAIL,F,0.5,2,0,50,0,0,0,0,N,0,0,0,0,0,0,0,0
10,DC_IIH_C1,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,-5,5,10,200,0,0,0,0,N,0,0,0,0,0,0,0,0
11,DC_IIH_PEN,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,600,700,200,600,0,0,0,0,N,0,0,0,0,0,0,0,0
12,DC_IIH_C0,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,250,350,0,200,0,0,0,0,N,0,0,0,0,0,0,0,0
13,DC_IIL_C1,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,-5,5,-5,5,0,0,0,0,N,0,0,0,0,0,0,0,0
14,DC_IIL_PEN,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,-5,5,-5,5,0,0,0,0,N,0,0,0,0,0,0,0,0
15,DC_IIL_C0,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,-5,5,-1,1,0,0,0,0,N,0,0,0,0,0,0,0,0
16,TX_IDC_VCC1,mA,5,Bin5,F,14,ICQ_FAIL,F,20,50,0,200,0,0,0,0,N,0,0,0,0,0,0,0,0
17,TX_IDC_VCC2,mA,5,Bin5,F,14,ICQ_FAIL,F,20,50,0,200,0,0,0,0,N,0,0,0,0,0,0,0,0
18,TX_IDC_VDD,mA,5,Bin5,F,14,ICQ_FAIL,F,60,120,0,100,0,0,0,0,N,0,0,0,0,0,0,0,0
19,TX_ICQ,mA,5,Bin5,F,14,ICQ_FAIL,F,140,180,0,500,0,0,0,0,N,0,0,0,0,0,0,0,0
20,VDETDC,mV,5,Bin5,F,16,ICQ_RETEST_FAIL,F,50,150,10,20,0,0,0,0,N,0,0,0,0,0,0,0,0
21,LNA_IDC,mA,3,Bin3,F,15,LNA_IDC_FAIL,F,20,50,20,50,0,0,0,0,N,0,0,0,0,0,0,0,0
22,LNA_GSS_5150MHz,dB,3,Bin3,F,201,LNA_GAIN_FAIL,F,14,18,10,20,0,0,0,0,N,0,0,0,0,0,0,0,0
23,LNA_GSS_5500MHz,dB,3,Bin3,F,201,LNA_GAIN_FAIL,F,14,18,10,20,0,0,0,0,N,0,0,0,0,0,0,0,0
24,LNA_GSS_5850MHz,dB,3,Bin3,F,201,LNA_GAIN_FAIL,F,14,18,10,20,0,0,0,0,N,0,0,0,0,0,0,0,0
25,LNA_GSS_5925MHz,dB,3,Bin3,F,201,LNA_GAIN_FAIL,F,14,18,10,20,0,0,0,0,N,0,0,0,0,0,0,0,0
26,LNA_GFLAT,dB,3,Bin3,F,202,LNA_GFLAT_FAIL,F,0,5,0,5,0,0,0,0,N,0,0,0,0,0,0,0,0
27,LNA_GSS_2410MHz,dB,3,Bin3,F,201,LNA_GAIN_FAIL,F,-50,0,-50,0,0,0,0,0,N,0,0,0,0,0,0,0,0
300,LNA_S11_5500MHz,dB,3,Bin3,F,302,LNA_BYPASS_FAIL,F,-35,-5,-35,-5,0,0,0,0,N,0,0,0,0,0,0,0,0
301,LNA_S21_5500MHz,dB,3,Bin3,F,302,LNA_BYPASS_FAIL,F,-6,-2,-6,-2,0,0,0,0,N,0,0,0,0,0,0,0,0
302,LNA_S22_5500MHz,dB,3,Bin3,F,302,LNA_BYPASS_FAIL,F,-35,-5,-35,-5,0,0,0,0,N,0,0,0,0,0,0,0,0
28,TX2RX_DS_21_5500MHz,dB,3,Bin3,F,203,LNA_DS21_5500MHz,F,-1,1,-1,1,0,0,0,0,N,0,0,0,0,0,0,0,0
29,TX2RX_5500MHz_TON,ns,3,Bin3,F,204,LNA_5500MHz_TON,F,0,1000,0,1000,0,0,0,0,N,0,0,0,0,0,0,0,0
30,LNA_BYPASS_IDC,mA,3,Bin3,F,301,LNA_IDC_BYPASS_FAIL,F,-20,0,-20,0,0,0,0,0,N,0,0,0,0,0,0,0,0
31,LNA_BYPASS_GSS_5150MHz,dB,3,Bin3,F,302,LNA_BYPASS_FAIL,F,-6,-2,-20,0,0,0,0,0,N,0,0,0,0,0,0,0,0
32,LNA_BYPASS_GSS_5500MHz,dB,3,Bin3,F,302,LNA_BYPASS_FAIL,F,-6,-2,-20,0,0,0,0,0,N,0,0,0,0,0,0,0,0
33,LNA_BYPASS_GSS_5850MHz,dB,3,Bin3,F,302,LNA_BYPASS_FAIL,F,-6,-2,-20,0,0,0,0,0,N,0,0,0,0,0,0,0,0
34,LNA_BYPASS_GSS_5925MHz,dB,3,Bin3,F,302,LNA_BYPASS_FAIL,F,-6,-2,-35,-5,0,0,0,0,N,0,0,0,0,0,0,0,0
280,LNA_BYPASS_S11_5500MHz,dB,3,Bin3,F,302,LNA_BYPASS_FAIL,F,-35,-5,-35,-5,0,0,0,0,N,0,0,0,0,0,0,0,0
281,LNA_BYPASS_S21_5500MHz,dB,3,Bin3,F,302,LNA_BYPASS_FAIL,F,-6,-2,-6,-2,0,0,0,0,N,0,0,0,0,0,0,0,0
282,LNA_BYPASS_S22_5500MHz,dB,3,Bin3,F,302,LNA_BYPASS_FAIL,F,-35,-5,-35,-5,0,0,0,0,N,0,0,0,0,0,0,0,0
35,RX2BYP_DS_21_5500MHz,dB,3,Bin3,F,303,LNA_BYPASS_DS21_5500MHz,F,-1,1,-1,1,0,0,0,0,N,0,0,0,0,0,0,0,0
36,RX2BYP_5500MHz_TON,ns,3,Bin3,F,304,LNA_BYPASS_5500MHz_TON,F,0,1000,0,1000,0,0,0,0,N,0,0,0,0,0,0,0,0
37,LNA_IP1dB_5500MHz,dBm,3,Bin3,F,205,RX_P1dB,F,-5,5,-5,5,0,0,0,0,N,0,0,0,0,0,0,0,0
38,LNA_CP1dB_5500MHz,dB,3,Bin3,F,208,LNA_P1dB_COMP,F,0.9,1.1,0,20,0,0,0,0,N,0,0,0,0,0,0,0,0
39,LNA_NF_5500MHz,dB,3,Bin3,F,206,RX_NF,F,1,3,0,5,0,0,0,0,N,0,0,0,0,0,0,0,0
40,DEVM_5500MHz_MCS9_HT80_300us_50%,dB,3,Bin3,F,207,LNA_DEVM_FAIL,F,0,4,0,4,0,0,0,0,N,0,0,0,0,0,0,0,0
41,ISO_RX2ANT_5500MHz,dB,5,Bin5,F,401,ISO_RX2ANT_FAIL,F,30,50,-30,30,0,0,0,0,N,0,0,0,0,0,0,0,0
42,ISO_TX2RX_5500MHZ,dB,5,Bin5,F,477,ISO_TX2RX_FAIL,F,5,20,-30,30,0,0,0,0,N,0,0,0,0,0,0,0,0
43,TX_GSS_5150MHz,dB,5,Bin5,F,402,TX_GAIN_FAIL,F,27,33,20,35,0,0,0,0,N,0,0,0,0,0,0,0,0
44,TX_GSS_5500MHz,dB,5,Bin5,F,402,TX_GAIN_FAIL,F,27,33,20,35,0,0,0,0,N,0,0,0,0,0,0,0,0
45,TX_GSS_5850MHz,dB,5,Bin5,F,402,TX_GAIN_FAIL,F,27,33,20,35,0,0,0,0,N,0,0,0,0,0,0,0,0
46,TX_GSS_5925MHz,dB,5,Bin5,F,402,TX_GAIN_FAIL,F,27,33,20,35,0,0,0,0,N,0,0,0,0,0,0,0,0
47,TX_GSS_3800MHz,dB,5,Bin5,F,402,TX_GAIN_FAIL,F,0,35,0,35,0,0,0,0,N,0,0,0,0,0,0,0,0
48,TX_GSS_2600MHz,dB,5,Bin5,F,402,TX_GAIN_FAIL,F,-50,0,-50,0,0,0,0,0,N,0,0,0,0,0,0,0,0
320,RX_S11_5500MHz,dB,3,Bin3,F,302,LNA_BYPASS_FAIL,F,-35,-5,-35,-5,0,0,0,0,N,0,0,0,0,0,0,0,0
321,RX_S21_5500MHz,dB,3,Bin3,F,302,LNA_BYPASS_FAIL,F,-6,-2,-6,-2,0,0,0,0,N,0,0,0,0,0,0,0,0
322,RX_S22_5500MHz,dB,3,Bin3,F,302,LNA_BYPASS_FAIL,F,-35,-5,-35,-5,0,0,0,0,N,0,0,0,0,0,0,0,0
49,TX_GFLAT,dB,5,Bin5,F,403,TX_GFLAT_FAIL,F,0,5,0,5,0,0,0,0,N,0,0,0,0,0,0,0,0
50,RX2TX_DS21_5500MHz,dB,5,Bin5,F,404,TX_DS21_5500MHz,F,-1,1,-1,1,0,0,0,0,N,0,0,0,0,0,0,0,0
51,RX2TX_5500MHz_TON,ns,5,Bin5,F,405,TX_5500MHz_TON,F,0,1000,0,1000,0,0,0,0,N,0,0,0,0,0,0,0,0
52,TX_OFF_5500MHz_TON,ns,5,Bin5,F,406,TX_5850MHz_TON,F,0,1000,0,1000,0,0,0,0,N,0,0,0,0,0,0,0,0
53,TX_OP1dB_5500MHz,dBm,5,Bin5,F,407,TX_P1dB_FAIL,F,28,35,15,35,0,0,0,0,N,0,0,0,0,0,0,0,0
54,TX_CP1dB_5500MHz,dB,5,Bin5,F,407,TX_P1dB_FAIL,F,0.9,1.1,0.9,1.1,0,0,0,0,N,0,0,0,0,0,0,0,0
55,TX_OP3dB_5500MHz,dBm,5,Bin5,F,407,TX_P1dB_FAIL,F,28,35,15,35,0,0,0,0,N,0,0,0,0,0,0,0,0
56,TX_CP3dB_5500MHz,dB,5,Bin5,F,407,TX_P1dB_FAIL,F,2.9,3.1,2.9,3.1,0,0,0,0,N,0,0,0,0,0,0,0,0
57,POUT_10dBm_5500MHz_CW,dBm,5,Bin5,F,408,POUT_10dBm_FAIL,F,9.9,10.1,9.5,10.5,0,0,0,0,N,0,0,0,0,0,0,0,0
58,ICC_10dBm_5500MHz_CW,mA,5,Bin5,F,409,ICC_10dBm_FAIL,F,0,800,0,800,0,0,0,0,N,0,0,0,0,0,0,0,0
59,VDET_10dBm_5500MHz_CW,mV,5,Bin5,F,410,VDET_10dBm_FAIL,F,0,1000,0,1000,0,0,0,0,N,0,0,0,0,0,0,0,0
60,POUT_18dBm_5500MHz_CW,dBm,5,Bin5,F,411,POUT_18dBm_FAIL,F,17.9,18.1,17.5,18.5,0,0,0,0,N,0,0,0,0,0,0,0,0
61,ICC_18dBm_5500MHz_CW,mA,5,Bin5,F,412,ICC_18dBm_FAIL,F,0,800,0,800,0,0,0,0,N,0,0,0,0,0,0,0,0
62,VDET_18dBm_5500MHz_CW,mV,5,Bin5,F,413,VDET_18dBm_FAIL,F,0,1000,0,1000,0,0,0,0,N,0,0,0,0,0,0,0,0
63,POUT_22dBm_5500MHz_CW,dBm,5,Bin5,F,414,POUT_22dBm_FAIL,F,21.9,22.1,21.5,22.5,0,0,0,0,N,0,0,0,0,0,0,0,0
64,ICC_22dBm_5500MHz_CW,mA,5,Bin5,F,415,ICC_22dBm_FAIL,F,0,800,0,800,0,0,0,0,N,0,0,0,0,0,0,0,0
65,VDET_22dBm_5500MHz_CW,mV,5,Bin5,F,416,VDET_22dBm_FAIL,F,0,1000,0,1000,0,0,0,0,N,0,0,0,0,0,0,0,0
66,POUT_25dBm_5500MHz_CW,dBm,5,Bin5,F,417,POUT_25dBm_FAIL,F,24.9,25.1,24.5,25.5,0,0,0,0,N,0,0,0,0,0,0,0,0
67,ICC_25dBm_5500MHz_CW,mA,5,Bin5,F,418,ICC_25dBm_FAIL,F,0,800,0,800,0,0,0,0,N,0,0,0,0,0,0,0,0
68,VDET_25dBm_5500MHz_CW,mV,5,Bin5,F,419,VDET_25dBm_FAIL,F,0,1000,0,1000,0,0,0,0,N,0,0,0,0,0,0,0,0
69,VDET_SLOPE_10dBm_26dBm_2442MHz,mV,5,Bin5,F,420,VDET_SLOPE_FAIL,F,10,30,10,30,0,0,0,0,N,0,0,0,0,0,0,0,0
70,VDET_INTERCEPT_2442MHz,mV,5,Bin5,F,421,VDET_INTERCEPT_FAIL,F,0,20,0,20,0,0,0,0,N,0,0,0,0,0,0,0,0
71,VDET_500mV_5500MHz_CW,mV,5,Bin5,F,422,VDET_500mV_5500MHz_CW,F,450,550,450,550,0,0,0,0,N,0,0,0,0,0,0,0,0
72,POUT_MEAS_500mV_5500MHz_CW,dBm,5,Bin5,F,423,POUT_MEAS_500mV_5500MHz_CW,F,10,25,10,25,0,0,0,0,N,0,0,0,0,0,0,0,0
73,POUT_CALC_500mV_5500MHz_CW,dBm,5,Bin5,F,424,POUT_CALC_500mV_5500MHz_CW,F,10,25,10,25,0,0,0,0,N,0,0,0,0,0,0,0,0
74,LIN_ERR_500mV_5500MHz,dB,5,Bin5,F,425,LIN_ERR_500mV_5500MHz,F,-10,10,-10,10,0,0,0,0,N,0,0,0,0,0,0,0,0
75,VDET_750mV_5500MHz_CW,mV,5,Bin5,F,426,VDET_750mV_5500MHz_CW,F,650,750,650,750,0,0,0,0,N,0,0,0,0,0,0,0,0
76,POUT_MEAS_750mV_5500MHz_CW,dBm,5,Bin5,F,427,POUT_MEAS_750mV_5500MHz_CW,F,15,30,15,30,0,0,0,0,N,0,0,0,0,0,0,0,0
77,POUT_CALC_750mV_5500MHz_CW,dBm,5,Bin5,F,428,POUT_CALC_750mV_5500MHz_CW,F,15,30,15,30,0,0,0,0,N,0,0,0,0,0,0,0,0
78,LIN_ERR_750mV_5500MHz,dB,5,Bin5,F,429,LIN_ERR_750mV_5500MHz,F,-10,10,-10,10,0,0,0,0,N,0,0,0,0,0,0,0,0
79,POUT_DEVM_21dBm_5190MHz_MCS7_HT40_300us_50%,dBm,5,Bin5,F,430,POUT_DEVM_21dBm_5190MHz_MCS7_HT40_300us_50%,F,20.9,21.1,20.5,21.5,0,0,0,0,N,0,0,0,0,0,0,0,0
80,DEVM_21dBm_5190MHz_MCS7_HT40_300us_50%,dB,5,Bin5,F,431,DEVM_21dBm_5190MHz_MCS7_HT40_300us_50%,F,-50,-30,0,5,0,0,0,0,N,0,0,0,0,0,0,0,0
81,POUT_DEVM_21dBm_5510MHz_MCS7_HT40_300us_50%,dBm,5,Bin5,F,432,POUT_DEVM_21dBm_5510MHz_MCS7_HT40_300us_50%,F,20.9,21.1,20.5,21.5,0,0,0,0,N,0,0,0,0,0,0,0,0
82,DEVM_21dBm_5510MHz_MCS7_HT40_300us_50%,dB,5,Bin5,F,433,DEVM_21dBm_5510MHz_MCS7_HT40_300us_50%,F,-50,-30,0,5,0,0,0,0,N,0,0,0,0,0,0,0,0
83,EVM_FLOOR_5510MHz_MCS7_HT40,dB,5,Bin5,F,434,EVM_FLOOR_5510MHz_MCS7_HT40,F,-50,-43,-50,-30,0,0,0,0,N,0,0,0,0,0,0,0,0
84,POUT_DEVM_21dBm_5795MHz_MCS7_HT40_300us_50%,dBm,5,Bin5,F,435,POUT_DEVM_21dBm_5795MHz_MCS7_HT40_300us_50%,F,20.9,21.1,20.5,21.5,0,0,0,0,N,0,0,0,0,0,0,0,0
85,DEVM_21dBm_5795MHz_MCS7_HT40_300us_50%,dB,5,Bin5,F,436,DEVM_21dBm_5795MHz_MCS7_HT40_300us_50%,F,-50,-30,0,5,0,0,0,0,N,0,0,0,0,0,0,0,0
86,POUT_DEVM_20dBm_5210MHz_MCS9_HT80_300us_50%,dBm,5,Bin5,F,437,POUT_DEVM_20dBm_5210MHz_MCS9_HT80_300us_50%,F,19.9,20.1,19.5,20.5,0,0,0,0,N,0,0,0,0,0,0,0,0
87,DEVM_20dBm_5210MHz_MCS9_HT80_300us_50%,dB,5,Bin5,F,438,DEVM_20dBm_5210MHz_MCS9_HT80_300us_50%,F,-50,-35,0,5,0,0,0,0,N,0,0,0,0,0,0,0,0
88,POUT_DEVM_20dBm_5530MHz_MCS9_HT80_300us_50%,dBm,5,Bin5,F,439,POUT_DEVM_20dBm_5530MHz_MCS9_HT80_300us_50%,F,19.9,20.1,19.5,20.5,0,0,0,0,N,0,0,0,0,0,0,0,0
89,DEVM_20dBm_5530MHz_MCS9_HT80_300us_50%,dB,5,Bin5,F,440,DEVM_20dBm_5530MHz_MCS9_HT80_300us_50%,F,-50,-35,0,5,0,0,0,0,N,0,0,0,0,0,0,0,0
90,EVM_FLOOR_5530MHz_MCS9_HT80,dB,5,Bin5,F,441,EVM_FLOOR_5530MHz_MCS9_HT80,F,-50,-43,-50,-30,0,0,0,0,N,0,0,0,0,0,0,0,0
91,POUT_DEVM_20dBm_5775MHz_MCS9_HT80_300us_50%,dBm,5,Bin5,F,442,POUT_DEVM_20dBm_5530MHz_MCS9_HT80_300us_50%,F,19.9,20.1,19.5,20.5,0,0,0,0,N,0,0,0,0,0,0,0,0
92,DEVM_20dBm_5775MHz_MCS9_HT80_300us_50%,dB,5,Bin5,F,443,DEVM_20dBm_5530MHz_MCS9_HT80_300us_50%,F,-50,-35,0,5,0,0,0,0,N,0,0,0,0,0,0,0,0
93,POUT_DEVM_16dBm_5250MHz_MCS11_HE160_300us_50%,dBm,5,Bin5,F,444,POUT_DEVM_16dBm_5250MHz_MCS11_HE160_300us_50%,F,15.9,16.1,15.5,16.5,0,0,0,0,N,0,0,0,0,0,0,0,0
94,DEVM_16dBm_5250MHz_MCS11_HE160_300us_50%,dB,5,Bin5,F,445,DEVM_16dBm_5250MHz_MCS11_HE160_300us_50%,F,-50,-43,0,5,0,0,0,0,N,0,0,0,0,0,0,0,0
95,POUT_DEVM_16dBm_5570MHz_MCS11_HE160_300us_50%,dBm,5,Bin5,F,516,POUT_2442MHz_MCS11_HT40,F,15.9,16.1,15.5,16.5,0,0,0,0,N,0,0,0,0,0,0,0,0
96,DEVM_16dBm_5570MHz_MCS11_HE160_300us_50%,dB,5,Bin5,F,517,DEVM_2442MHz_MCS11_HT40,F,-50,-43,0,5,0,0,0,0,N,0,0,0,0,0,0,0,0
97,EVM_FLOOR_5570MHz_MCS11_HE160,dB,5,Bin5,F,517,DEVM_2442MHz_MCS11_HT40,F,-50,-43,-50,-30,0,0,0,0,N,0,0,0,0,0,0,0,0
98,POUT_DEVM_16dBm_5815MHz_MCS11_HE160_300us_50%,dBm,5,Bin5,F,519,POUT_2462MHz_MCS11_HT40,F,15.9,16.1,15.5,16.5,0,0,0,0,N,0,0,0,0,0,0,0,0
99,DEVM_16dBm_5815MHz_MCS11_HE160_300us_50%,dB,5,Bin5,F,520,DEVM_2462MHz_MCS11_HT40,F,-50,-43,0,5,0,0,0,0,N,0,0,0,0,0,0,0,0
100,POUT_DEVM_18dBm_5210MHz_MCS9_HE80_4msec_50%,dBm,5,Bin5,F,521,POUT_DEVM_18dBm_5210MHz_MCS9_HE80_4msec_50%,F,17.9,18.1,17.5,18.5,0,0,0,0,N,0,0,0,0,0,0,0,0
101,DEVM_18dBm_5210MHz_MCS9_HE80_4msec_50%_-40dB,dB,5,Bin5,F,522,DEVM_18dBm_5210MHz_MCS9_HE80_4msec_50%_-40dB,F,-50,-40,0,5,0,0,0,0,N,0,0,0,0,0,0,0,0
102,POUT_DEVM_18dBm_5530MHz_MCS9_HE80_4msec_50%,dBm,5,Bin5,F,523,POUT_DEVM_18dBm_5530MHz_MCS9_HE80_4msec_50%,F,17.9,18.1,17.5,18.5,0,0,0,0,N,0,0,0,0,0,0,0,0
103,DEVM_18dBm_5530MHz_MCS9_HE80_4msec_50%_-40dB,dB,5,Bin5,F,524,DEVM_18dBm_5530MHz_MCS9_HE80_4msec_50%_-40dB,F,-50,-40,0,5,0,0,0,0,N,0,0,0,0,0,0,0,0
104,EVM_FLOOR_5530MHz_MCS9_HE80_4msec,dB,5,Bin5,F,525,EVM_FLOOR_5530MHz_MCS9_HE80_4msec,F,-50,-43,-50,-30,0,0,0,0,N,0,0,0,0,0,0,0,0
105,POUT_DEVM_18dBm_5775MHz_MCS9_HE80_4msec_50%,dBm,5,Bin5,F,526,POUT_DEVM_18dBm_5775MHz_MCS9_HE80_4msec_50%,F,17.9,18.1,17.5,18.5,0,0,0,0,N,0,0,0,0,0,0,0,0
106,DEVM_18dBm_5775MHz_MCS9_HE80_4msec_50%,dB,5,Bin5,F,527,DEVM_18dBm_5775MHz_MCS9_HE80_4msec_50%,F,-50,-40,0,5,0,0,0,0,N,0,0,0,0,0,0,0,0
107,TX_IDC_VCC1,mA,5,Bin5,F,528,ICQ_RETEST_FAIL,F,20,50,0,200,0,0,0,0,N,0,0,0,0,0,0,0,0
108,TX_IDC_VCC2,mA,5,Bin5,F,529,ICQ_RETEST_FAIL,F,20,50,0,200,0,0,0,0,N,0,0,0,0,0,0,0,0
109,TX_IDC_VDD,mA,5,Bin5,F,530,ICQ_RETEST_FAIL,F,60,120,0,100,0,0,0,0,N,0,0,0,0,0,0,0,0
110,TX_ICQ,mA,5,Bin5,F,531,ICQ_RETEST_FAIL,F,140,180,0,500,0,0,0,0,N,0,0,0,0,0,0,0,0
111,LNA_IDD_END,mA,3,Bin3,F,532,LNA_IDC_RETEST_FAIL,F,0,50,0,50,0,0,0,0,N,0,0,0,0,0,0,0,0
112,IOFF_VCC1_END,uA,4,Bin4,F,533,IOFF_END_FAIL,F,0.5,2,-10,10,0,0,0,0,N,0,0,0,0,0,0,0,0
113,IOFF_VCC2_END,uA,4,Bin4,F,534,IOFF_END_FAIL,F,-10,10,0,200,0,0,0,0,N,0,0,0,0,0,0,0,0
114,IOFF_VDD,mA,4,Bin4,F,535,IOFF_END_FAIL,F,-10,10,-5,5,0,0,0,0,N,0,0,0,0,0,0,0,0
115,IOFF_GROSS_END,mA,4,Bin4,F,536,IOFF_END_FAIL,F,0.5,2,10,200,0,0,0,0,N,0,0,0,0,0,0,0,0
116,DC_IIH_C1,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,-5,5,10,200,0,0,0,0,N,0,0,0,0,0,0,0,0
117,DC_IIH_PEN,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,600,700,200,600,0,0,0,0,N,0,0,0,0,0,0,0,0
118,DC_IIH_C0,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,250,350,0,200,0,0,0,0,N,0,0,0,0,0,0,0,0
119,DC_IIL_C1,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,-5,5,-5,5,0,0,0,0,N,0,0,0,0,0,0,0,0
120,DC_IIL_PEN,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,-5,5,-5,5,0,0,0,0,N,0,0,0,0,0,0,0,0
121,DC_IIL_C0,uA,4,Bin4,F,13,LEAKAGE_FAIL,F,-5,5,-5,5,0,0,0,0,N,0,0,0,0,0,0,0,0
122,CONT_PEN_POS,V,4,Bin4,F,11,CONT_DIG_FAIL,F,0,1,0,1,0,0,0,0,N,0,0,0,0,0,0,0,0
123,CONT_C0_POS,V,4,Bin4,F,11,CONT_DIG_FAIL,F,0.1,0.6,0,1,0,0,0,0,N,0,0,0,0,0,0,0,0
124,CONT_C1_POS,V,4,Bin4,F,11,CONT_DIG_FAIL,F,1,3,0,1,0,0,0,0,N,0,0,0,0,0,0,0,0
125,TestTime,ms,5,Bin5,F,6,TestTime_FAIL,F,0,6000,0,6000,0,0,0,0,N,0,0,0,0,0,0,0,0
